URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
131109,203,3670,State-funded primary,638,350,288,54.9%,45.1%,28,4.4%,193,30.3%,210,423,5,32.9%,66.3%,0.8%,166,172,595,28.9%
131111,383,3928,State-funded primary,446,227,219,50.9%,49.1%,4,0.9%,69,15.5%,16,430,0,3.6%,96.4%,0.0%,80,78,409,19.1%
131116,850,2777,State-funded primary,216,93,123,43.1%,56.9%,40,18.5%,38,17.6%,19,197,0,8.8%,91.2%,0.0%,99,101,216,46.8%
131117,850,2776,State-funded primary,233,101,132,43.3%,56.7%,32,13.7%,57,24.5%,11,222,0,4.7%,95.3%,0.0%,90,91,233,39.1%
131119,892,6012,Independent school,166,166,0,100.0%,0.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131121,302,6106,Independent school,318,0,318,0.0%,100.0%,1,0.3%,41,12.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131122,373,6028,Independent school,75,75,0,100.0%,0.0%,2,2.7%,4,5.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131124,815,6037,Independent school,447,189,258,42.3%,57.7%,0,0.0%,58,13.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131125,936,2960,State-funded primary,389,189,200,48.6%,51.4%,10,2.6%,65,16.7%,46,343,0,11.8%,88.2%,0.0%,72,65,357,18.2%
131127,846,6020,Independent school,42,11,31,26.2%,73.8%,14,33.3%,6,14.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131128,302,6107,Independent school,88,38,50,43.2%,56.8%,0,0.0%,6,6.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131130,938,2249,State-funded primary,201,89,112,44.3%,55.7%,4,2.0%,24,11.9%,13,188,0,6.5%,93.5%,0.0%,10,10,201,5.0%
131131,382,6019,Independent school,145,71,74,49.0%,51.0%,0,0.0%,4,2.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131134,358,1103,State-funded AP school,52,21,31,40.4%,59.6%,26,50.0%,26,50.0%,3,49,0,5.8%,94.2%,0.0%,28,31,52,59.6%
131136,384,6120,Independent school,49,13,36,26.5%,73.5%,49,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131138,888,6030,Independent school,14,3,11,21.4%,78.6%,14,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131139,938,6255,Independent school,48,11,37,22.9%,77.1%,48,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131141,204,2898,State-funded primary,389,205,184,52.7%,47.3%,17,4.4%,71,18.3%,155,234,0,39.8%,60.2%,0.0%,216,213,368,57.9%
131144,307,2187,State-funded primary,717,367,350,51.2%,48.8%,15,2.1%,81,11.3%,340,376,1,47.4%,52.4%,0.1%,164,173,661,26.2%
131145,867,2813,State-funded primary,421,219,202,52.0%,48.0%,13,3.1%,49,11.6%,52,369,0,12.4%,87.6%,0.0%,11,11,421,2.6%
131151,941,1010,State-funded nursery,114,46,68,40.4%,59.6%,0,0.0%,24,21.1%,52,62,0,45.6%,54.4%,0.0%,0,NA,NA,NA
131153,336,2116,State-funded primary,293,140,153,47.8%,52.2%,4,1.4%,42,14.3%,179,114,0,61.1%,38.9%,0.0%,118,120,225,53.3%
131156,830,3164,State-funded primary,253,133,120,52.6%,47.4%,4,1.6%,20,7.9%,5,248,0,2.0%,98.0%,0.0%,74,75,219,34.2%
131157,370,2138,State-funded primary,300,149,151,49.7%,50.3%,14,4.7%,42,14.0%,23,277,0,7.7%,92.3%,0.0%,153,149,274,54.4%
131163,888,6032,Independent school,35,15,20,42.9%,57.1%,33,94.3%,2,5.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131164,330,6094,Independent school,72,72,0,100.0%,0.0%,0,0.0%,2,2.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131165,205,6390,Independent school,586,220,366,37.5%,62.5%,1,0.2%,153,26.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131168,840,3213,State-funded primary,460,209,251,45.4%,54.6%,5,1.1%,53,11.5%,3,457,0,0.7%,99.3%,0.0%,73,65,400,16.3%
131170,204,6398,Independent school,264,0,264,0.0%,100.0%,27,10.2%,65,24.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131171,893,6099,Independent school,4,4,0,100.0%,0.0%,1,25.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131173,936,6577,Independent school,494,188,306,38.1%,61.9%,4,0.8%,54,10.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131175,821,1023,State-funded nursery,139,57,82,41.0%,59.0%,1,0.7%,21,15.1%,87,52,0,62.6%,37.4%,0.0%,72,1,2,50.0%
131177,942,2713,State-funded primary,558,284,274,50.9%,49.1%,24,4.3%,47,8.4%,46,512,0,8.2%,91.8%,0.0%,171,173,526,32.9%
131178,333,2181,State-funded primary,474,242,232,51.1%,48.9%,16,3.4%,58,12.2%,288,186,0,60.8%,39.2%,0.0%,139,141,423,33.3%
131181,886,6073,Independent school,87,39,48,44.8%,55.2%,0,0.0%,9,10.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131182,938,1110,State-funded AP school,200,67,133,33.5%,66.5%,27,13.5%,173,86.5%,8,192,0,4.0%,96.0%,0.0%,120,124,200,62.0%
131184,333,2180,State-funded primary,832,395,437,47.5%,52.5%,40,4.8%,103,12.4%,359,466,7,43.1%,56.0%,0.8%,339,340,756,45.0%
131189,938,1109,State-funded AP school,2,2,0,100.0%,0.0%,0,0.0%,2,100.0%,0,2,0,0.0%,100.0%,0.0%,0,NA,NA,NA
131190,826,2353,State-funded primary,474,240,234,50.6%,49.4%,7,1.5%,59,12.4%,159,315,0,33.5%,66.5%,0.0%,117,121,474,25.5%
131192,872,3371,State-funded primary,557,253,304,45.4%,54.6%,11,2.0%,59,10.6%,269,279,9,48.3%,50.1%,1.6%,35,35,518,6.8%
131197,873,3392,State-funded primary,308,144,164,46.8%,53.2%,4,1.3%,31,10.1%,53,253,2,17.2%,82.1%,0.6%,57,57,308,18.5%
131200,390,7009,State-funded special school,65,20,45,30.8%,69.2%,65,100.0%,0,0.0%,8,57,0,12.3%,87.7%,0.0%,27,21,50,42.0%
131201,313,1100,State-funded AP school,122,35,87,28.7%,71.3%,46,37.7%,75,61.5%,9,111,2,7.4%,91.0%,1.6%,86,93,113,82.3%
131203,391,2033,State-funded primary,621,297,324,47.8%,52.2%,10,1.6%,44,7.1%,277,344,0,44.6%,55.4%,0.0%,68,71,621,11.4%
131209,881,2082,State-funded primary,470,222,248,47.2%,52.8%,3,0.6%,56,11.9%,64,405,1,13.6%,86.2%,0.2%,45,59,470,12.6%
131212,333,2183,State-funded primary,454,233,221,51.3%,48.7%,12,2.6%,86,18.9%,85,368,1,18.7%,81.1%,0.2%,210,211,415,50.8%
131213,390,7007,State-funded special school,195,50,145,25.6%,74.4%,195,100.0%,0,0.0%,18,177,0,9.2%,90.8%,0.0%,89,89,194,45.9%
131216,813,2001,State-funded primary,334,168,166,50.3%,49.7%,14,4.2%,34,10.2%,60,274,0,18.0%,82.0%,0.0%,188,181,311,58.2%
131217,876,3179,State-funded primary,200,94,106,47.0%,53.0%,5,2.5%,44,22.0%,3,197,0,1.5%,98.5%,0.0%,114,114,200,57.0%
131218,206,2852,State-funded primary,327,162,165,49.5%,50.5%,27,8.3%,63,19.3%,245,82,0,74.9%,25.1%,0.0%,205,175,269,65.1%
131219,881,5280,State-funded primary,415,197,218,47.5%,52.5%,7,1.7%,76,18.3%,118,297,0,28.4%,71.6%,0.0%,96,108,415,26.0%
131221,929,3922,State-funded primary,36,19,17,52.8%,47.2%,2,5.6%,5,13.9%,0,36,0,0.0%,100.0%,0.0%,2,2,18,11.1%
131223,333,2182,State-funded primary,235,109,126,46.4%,53.6%,4,1.7%,28,11.9%,181,54,0,77.0%,23.0%,0.0%,93,94,211,44.5%
131225,803,2341,State-funded primary,410,200,210,48.8%,51.2%,12,2.9%,57,13.9%,115,294,1,28.0%,71.7%,0.2%,38,38,410,9.3%
131228,359,3433,State-funded primary,404,204,200,50.5%,49.5%,6,1.5%,112,27.7%,70,334,0,17.3%,82.7%,0.0%,187,187,404,46.3%
131231,812,3519,State-funded primary,304,144,160,47.4%,52.6%,9,3.0%,82,27.0%,34,270,0,11.2%,88.8%,0.0%,137,136,276,49.3%
131232,940,1011,State-funded nursery,122,65,57,53.3%,46.7%,5,4.1%,26,21.3%,43,79,0,35.2%,64.8%,0.0%,0,NA,NA,NA
131233,840,2943,State-funded primary,386,189,197,49.0%,51.0%,5,1.3%,42,10.9%,14,372,0,3.6%,96.4%,0.0%,103,103,354,29.1%
131237,210,6391,Independent school,38,9,29,23.7%,76.3%,38,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131238,873,3384,State-funded primary,203,97,106,47.8%,52.2%,6,3.0%,26,12.8%,23,180,0,11.3%,88.7%,0.0%,41,42,203,20.7%
131239,331,2154,State-funded primary,321,161,160,50.2%,49.8%,8,2.5%,69,21.5%,32,285,4,10.0%,88.8%,1.2%,46,46,299,15.4%
131241,331,2155,State-funded primary,260,115,145,44.2%,55.8%,2,0.8%,59,22.7%,166,94,0,63.8%,36.2%,0.0%,144,146,240,60.8%
131246,203,2921,State-funded primary,742,355,387,47.8%,52.2%,26,3.5%,96,12.9%,255,446,41,34.4%,60.1%,5.5%,224,223,705,31.6%
131247,208,2897,State-funded primary,358,183,175,51.1%,48.9%,11,3.1%,41,11.5%,162,196,0,45.3%,54.7%,0.0%,138,132,333,39.6%
131249,916,2177,State-funded primary,281,133,148,47.3%,52.7%,10,3.6%,71,25.3%,88,184,9,31.3%,65.5%,3.2%,109,110,281,39.1%
131250,916,2178,State-funded primary,181,78,103,43.1%,56.9%,10,5.5%,65,35.9%,67,114,0,37.0%,63.0%,0.0%,97,97,181,53.6%
131251,808,3396,State-funded primary,324,152,172,46.9%,53.1%,4,1.2%,38,11.7%,13,311,0,4.0%,96.0%,0.0%,43,43,280,15.4%
131258,888,7116,State-funded special school,137,42,95,30.7%,69.3%,137,100.0%,0,0.0%,4,133,0,2.9%,97.1%,0.0%,44,35,87,40.2%
131259,888,7117,State-funded special school,119,31,88,26.1%,73.9%,117,98.3%,2,1.7%,7,112,0,5.9%,94.1%,0.0%,46,46,118,39.0%
131261,302,6119,Independent school,168,95,73,56.5%,43.5%,0,0.0%,1,0.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131262,213,6906,State-funded secondary,1116,536,580,48.0%,52.0%,27,2.4%,149,13.4%,627,489,0,56.2%,43.8%,0.0%,525,475,969,49.0%
131268,205,6400,Independent school,185,107,78,57.8%,42.2%,4,2.2%,40,21.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131271,350,3373,State-funded primary,456,226,230,49.6%,50.4%,10,2.2%,118,25.9%,105,348,3,23.0%,76.3%,0.7%,215,213,390,54.6%
131272,852,2401,State-funded primary,380,194,186,51.1%,48.9%,4,1.1%,81,21.3%,51,329,0,13.4%,86.6%,0.0%,190,183,333,55.0%
131277,925,7032,State-funded special school,113,20,93,17.7%,82.3%,113,100.0%,0,0.0%,2,111,0,1.8%,98.2%,0.0%,63,68,113,60.2%
131281,344,2001,State-funded primary,450,214,236,47.6%,52.4%,31,6.9%,94,20.9%,26,424,0,5.8%,94.2%,0.0%,275,271,397,68.3%
131285,357,3331,State-funded primary,219,118,101,53.9%,46.1%,5,2.3%,33,15.1%,104,115,0,47.5%,52.5%,0.0%,66,66,202,32.7%
131287,926,3152,State-funded primary,325,156,169,48.0%,52.0%,9,2.8%,32,9.8%,18,307,0,5.5%,94.5%,0.0%,47,48,325,14.8%
131288,302,6109,Independent school,44,19,25,43.2%,56.8%,8,18.2%,22,50.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131291,202,6396,Independent school,88,27,61,30.7%,69.3%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131294,805,1100,State-funded AP school,37,15,22,40.5%,59.5%,1,2.7%,15,40.5%,1,36,0,2.7%,97.3%,0.0%,30,31,37,83.8%
131295,359,7020,State-funded special school,129,33,96,25.6%,74.4%,108,83.7%,21,16.3%,6,123,0,4.7%,95.3%,0.0%,40,41,129,31.8%
131304,317,2071,State-funded primary,648,311,337,48.0%,52.0%,39,6.0%,92,14.2%,527,117,4,81.3%,18.1%,0.6%,104,107,606,17.7%
131306,356,3524,State-funded primary,349,184,165,52.7%,47.3%,8,2.3%,41,11.7%,114,235,0,32.7%,67.3%,0.0%,113,113,349,32.4%
131309,888,3343,State-funded primary,208,101,107,48.6%,51.4%,5,2.4%,35,16.8%,2,206,0,1.0%,99.0%,0.0%,23,23,208,11.1%
131310,307,4036,State-funded secondary,1574,762,812,48.4%,51.6%,81,5.1%,231,14.7%,459,1115,0,29.2%,70.8%,0.0%,280,256,1221,21.0%
131316,310,2101,State-funded primary,853,415,438,48.7%,51.3%,19,2.2%,125,14.7%,603,247,3,70.7%,29.0%,0.4%,89,88,813,10.8%
131319,919,7047,State-funded special school,60,5,55,8.3%,91.7%,59,98.3%,1,1.7%,1,59,0,1.7%,98.3%,0.0%,41,46,60,76.7%
131322,830,7000,State-funded special school,45,6,39,13.3%,86.7%,45,100.0%,0,0.0%,0,45,0,0.0%,100.0%,0.0%,33,34,45,75.6%
131325,206,2853,State-funded primary,414,216,198,52.2%,47.8%,15,3.6%,74,17.9%,211,197,6,51.0%,47.6%,1.4%,222,217,365,59.5%
131330,873,6024,Independent school,34,22,12,64.7%,35.3%,30,88.2%,4,11.8%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131331,359,3434,State-funded primary,339,183,156,54.0%,46.0%,5,1.5%,37,10.9%,63,276,0,18.6%,81.4%,0.0%,138,126,307,41.0%
131332,340,3360,State-funded primary,347,184,163,53.0%,47.0%,3,0.9%,41,11.8%,17,330,0,4.9%,95.1%,0.0%,128,130,312,41.7%
131340,208,2898,State-funded primary,289,145,144,50.2%,49.8%,18,6.2%,78,27.0%,127,162,0,43.9%,56.1%,0.0%,180,172,256,67.2%
131341,371,2205,State-funded primary,368,201,167,54.6%,45.4%,3,0.8%,84,22.8%,73,295,0,19.8%,80.2%,0.0%,114,113,329,34.3%
131342,204,6400,Independent school,253,253,0,100.0%,0.0%,11,4.3%,44,17.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131343,204,6401,Independent school,122,55,67,45.1%,54.9%,0,0.0%,9,7.4%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131348,826,2506,State-funded primary,229,112,117,48.9%,51.1%,3,1.3%,21,9.2%,78,151,0,34.1%,65.9%,0.0%,28,26,180,14.4%
131349,877,3304,State-funded primary,474,231,243,48.7%,51.3%,5,1.1%,46,9.7%,39,435,0,8.2%,91.8%,0.0%,147,147,416,35.3%
131350,896,2729,State-funded primary,189,97,92,51.3%,48.7%,13,6.9%,69,36.5%,14,175,0,7.4%,92.6%,0.0%,95,95,168,56.5%
131351,314,6070,Independent school,35,19,16,54.3%,45.7%,2,5.7%,1,2.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131353,884,6011,Independent school,41,0,41,0.0%,100.0%,41,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131355,888,6034,Independent school,260,260,0,100.0%,0.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131356,846,6043,Independent school,11,5,6,45.5%,54.5%,10,90.9%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131357,380,3379,State-funded primary,464,245,219,52.8%,47.2%,17,3.7%,61,13.1%,85,379,0,18.3%,81.7%,0.0%,147,139,419,33.2%
131359,302,5949,State-funded primary,345,155,190,44.9%,55.1%,6,1.7%,15,4.3%,73,272,0,21.2%,78.8%,0.0%,11,12,316,3.8%
131362,206,6379,Independent school,206,107,99,51.9%,48.1%,1,0.5%,39,18.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131367,916,1104,State-funded AP school,0,0,0,0.0%,0.0%,0,0.0%,0,0.0%,0,0,0,0.0%,0.0%,0.0%,0,NA,NA,NA
131379,354,6036,Independent school,2,0,2,0.0%,100.0%,0,0.0%,2,100.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131388,211,6387,Independent school,189,0,189,0.0%,100.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131389,889,6005,Independent school,436,0,436,0.0%,100.0%,0,0.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131395,305,6078,Independent school,94,30,64,31.9%,68.1%,93,98.9%,1,1.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131397,826,2000,State-funded primary,414,214,200,51.7%,48.3%,5,1.2%,31,7.5%,72,336,6,17.4%,81.2%,1.4%,101,104,414,25.1%
131401,831,2001,State-funded primary,393,186,207,47.3%,52.7%,11,2.8%,61,15.5%,24,367,2,6.1%,93.4%,0.5%,163,168,352,47.7%
131403,302,6110,Independent school,147,147,0,100.0%,0.0%,1,0.7%,11,7.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131407,308,2090,State-funded primary,466,216,250,46.4%,53.6%,21,4.5%,45,9.7%,226,240,0,48.5%,51.5%,0.0%,145,146,466,31.3%
131410,803,3300,State-funded primary,204,106,98,52.0%,48.0%,5,2.5%,16,7.8%,102,100,2,50.0%,49.0%,1.0%,12,12,204,5.9%
131411,886,6075,Independent school,318,164,154,51.6%,48.4%,0,0.0%,25,7.9%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131414,890,2834,State-funded primary,233,120,113,51.5%,48.5%,3,1.3%,33,14.2%,9,224,0,3.9%,96.1%,0.0%,95,86,188,45.7%
131416,811,1014,State-funded nursery,91,47,44,51.6%,48.4%,2,2.2%,11,12.1%,1,90,0,1.1%,98.9%,0.0%,0,NA,NA,NA
131418,304,3602,State-funded primary,211,126,85,59.7%,40.3%,8,3.8%,25,11.8%,141,66,4,66.8%,31.3%,1.9%,85,79,191,41.4%
131420,850,2778,State-funded primary,622,283,339,45.5%,54.5%,13,2.1%,51,8.2%,70,551,1,11.3%,88.6%,0.2%,53,54,622,8.7%
131421,896,2727,State-funded primary,221,95,126,43.0%,57.0%,5,2.3%,34,15.4%,18,203,0,8.1%,91.9%,0.0%,53,54,200,27.0%
131422,886,6076,Independent school,16,1,15,6.3%,93.8%,15,93.8%,1,6.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131425,806,7000,State-funded special school,203,68,135,33.5%,66.5%,203,100.0%,0,0.0%,41,162,0,20.2%,79.8%,0.0%,107,84,162,51.9%
131426,311,2092,State-funded primary,671,336,335,50.1%,49.9%,27,4.0%,61,9.1%,302,363,6,45.0%,54.1%,0.9%,150,152,630,24.1%
131433,335,2245,State-funded primary,511,237,274,46.4%,53.6%,21,4.1%,65,12.7%,21,490,0,4.1%,95.9%,0.0%,141,141,457,30.9%
131435,355,6035,Independent school,462,0,462,0.0%,100.0%,4,0.9%,10,2.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131442,331,2153,State-funded primary,457,227,230,49.7%,50.3%,5,1.1%,55,12.0%,331,124,2,72.4%,27.1%,0.4%,171,171,419,40.8%
131443,942,2714,State-funded primary,264,156,108,59.1%,40.9%,8,3.0%,36,13.6%,4,260,0,1.5%,98.5%,0.0%,70,72,211,34.1%
131447,342,1001,State-funded nursery,63,32,31,50.8%,49.2%,1,1.6%,11,17.5%,1,62,0,1.6%,98.4%,0.0%,0,NA,NA,NA
131450,850,3665,State-funded primary,622,291,331,46.8%,53.2%,42,6.8%,71,11.4%,34,588,0,5.5%,94.5%,0.0%,59,62,622,10.0%
131455,933,6211,Independent school,28,7,21,25.0%,75.0%,28,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131456,919,5213,State-funded primary,198,104,94,52.5%,47.5%,5,2.5%,20,10.1%,6,192,0,3.0%,97.0%,0.0%,5,5,198,2.5%
131457,807,2000,State-funded primary,292,132,160,45.2%,54.8%,10,3.4%,46,15.8%,3,284,5,1.0%,97.3%,1.7%,88,94,261,36.0%
131459,370,2141,State-funded primary,312,157,155,50.3%,49.7%,3,1.0%,35,11.2%,60,249,3,19.2%,79.8%,1.0%,61,61,277,22.0%
131462,825,6031,Independent school,37,18,19,48.6%,51.4%,36,97.3%,1,2.7%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131465,330,5949,State-funded primary,628,329,299,52.4%,47.6%,10,1.6%,50,8.0%,476,152,0,75.8%,24.2%,0.0%,244,246,628,39.2%
131466,390,2236,State-funded primary,323,141,182,43.7%,56.3%,6,1.9%,47,14.6%,24,299,0,7.4%,92.6%,0.0%,139,132,282,46.8%
131478,309,2080,State-funded primary,314,158,156,50.3%,49.7%,18,5.7%,44,14.0%,274,37,3,87.3%,11.8%,1.0%,65,65,282,23.0%
131479,888,7109,State-funded special school,108,25,83,23.1%,76.9%,108,100.0%,0,0.0%,13,95,0,12.0%,88.0%,0.0%,38,35,96,36.5%
131480,341,2226,State-funded primary,313,161,152,51.4%,48.6%,15,4.8%,111,35.5%,96,216,1,30.7%,69.0%,0.3%,152,147,266,55.3%
131490,925,3169,State-funded primary,185,76,109,41.1%,58.9%,16,8.6%,31,16.8%,21,164,0,11.4%,88.6%,0.0%,133,136,185,73.5%
131504,938,6265,Independent school,25,11,14,44.0%,56.0%,25,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131505,919,2005,State-funded primary,185,91,94,49.2%,50.8%,9,4.9%,30,16.2%,44,141,0,23.8%,76.2%,0.0%,58,58,167,34.7%
131506,351,1100,State-funded AP school,117,48,69,41.0%,59.0%,52,44.4%,41,35.0%,9,108,0,7.7%,92.3%,0.0%,64,73,117,62.4%
131511,335,2246,State-funded primary,697,358,339,51.4%,48.6%,21,3.0%,125,17.9%,467,230,0,67.0%,33.0%,0.0%,240,240,624,38.5%
131512,355,4620,State-funded secondary,736,360,376,48.9%,51.1%,45,6.1%,130,17.7%,231,505,0,31.4%,68.6%,0.0%,272,289,736,39.3%
131513,856,2379,State-funded primary,307,158,149,51.5%,48.5%,12,3.9%,42,13.7%,40,267,0,13.0%,87.0%,0.0%,70,69,284,24.3%
131516,850,3669,State-funded primary,310,147,163,47.4%,52.6%,10,3.2%,61,19.7%,23,286,1,7.4%,92.3%,0.3%,52,54,310,17.4%
131518,938,2252,State-funded primary,398,182,216,45.7%,54.3%,10,2.5%,44,11.1%,28,355,15,7.0%,89.2%,3.8%,50,50,398,12.6%
131520,212,3645,State-funded primary,352,169,183,48.0%,52.0%,35,9.9%,49,13.9%,144,165,43,40.9%,46.9%,12.2%,150,147,332,44.3%
131522,801,2023,State-funded primary,413,209,204,50.6%,49.4%,13,3.1%,38,9.2%,55,358,0,13.3%,86.7%,0.0%,35,36,413,8.7%
131523,825,2507,State-funded primary,181,87,94,48.1%,51.9%,10,5.5%,22,12.2%,38,143,0,21.0%,79.0%,0.0%,92,93,181,51.4%
131526,384,7056,State-funded special school,106,13,93,12.3%,87.7%,106,100.0%,0,0.0%,0,104,2,0.0%,98.1%,1.9%,76,78,106,73.6%
131527,887,3760,State-funded primary,457,212,245,46.4%,53.6%,9,2.0%,98,21.4%,157,294,6,34.4%,64.3%,1.3%,184,190,420,45.2%
131530,359,7022,State-funded special school,367,98,269,26.7%,73.3%,365,99.5%,2,0.5%,13,344,10,3.5%,93.7%,2.7%,171,145,298,48.7%
131531,850,6085,Independent school,68,13,55,19.1%,80.9%,68,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131534,885,7025,State-funded special school,243,61,182,25.1%,74.9%,233,95.9%,10,4.1%,19,213,11,7.8%,87.7%,4.5%,84,84,243,34.6%
131535,856,1103,State-funded AP school,35,14,21,40.0%,60.0%,2,5.7%,10,28.6%,4,31,0,11.4%,88.6%,0.0%,21,25,35,71.4%
131536,891,6026,Independent school,12,8,4,66.7%,33.3%,6,50.0%,1,8.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131544,392,7008,State-funded special school,232,63,169,27.2%,72.8%,232,100.0%,0,0.0%,18,214,0,7.8%,92.2%,0.0%,108,100,201,49.8%
131545,840,3522,State-funded primary,336,153,183,45.5%,54.5%,3,0.9%,63,18.8%,11,325,0,3.3%,96.7%,0.0%,85,91,294,31.0%
131551,356,6027,Independent school,34,7,27,20.6%,79.4%,34,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131552,878,7088,State-funded special school,154,18,136,11.7%,88.3%,154,100.0%,0,0.0%,0,154,0,0.0%,100.0%,0.0%,105,111,154,72.1%
131554,356,2116,State-funded primary,457,231,226,50.5%,49.5%,17,3.7%,66,14.4%,47,410,0,10.3%,89.7%,0.0%,55,55,420,13.1%
131556,852,6009,Independent school,24,24,0,100.0%,0.0%,24,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131559,850,7000,State-funded special school,135,40,95,29.6%,70.4%,135,100.0%,0,0.0%,31,104,0,23.0%,77.0%,0.0%,45,35,110,31.8%
131567,886,6113,Independent school,48,26,22,54.2%,45.8%,0,0.0%,1,2.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131570,383,3929,State-funded primary,209,99,110,47.4%,52.6%,2,1.0%,42,20.1%,18,191,0,8.6%,91.4%,0.0%,24,25,209,12.0%
131574,331,7021,State-funded special school,155,9,146,5.8%,94.2%,155,100.0%,0,0.0%,5,150,0,3.2%,96.8%,0.0%,114,118,155,76.1%
131575,888,6094,Independent school,45,6,39,13.3%,86.7%,45,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131577,310,3512,State-funded primary,658,310,348,47.1%,52.9%,18,2.7%,53,8.1%,254,404,0,38.6%,61.4%,0.0%,71,69,619,11.1%
131579,881,2005,State-funded primary,307,155,152,50.5%,49.5%,9,2.9%,25,8.1%,14,293,0,4.6%,95.4%,0.0%,45,48,307,15.6%
131580,335,2247,State-funded primary,498,251,247,50.4%,49.6%,14,2.8%,60,12.0%,55,443,0,11.0%,89.0%,0.0%,203,206,416,49.5%
131581,335,2248,State-funded primary,213,93,120,43.7%,56.3%,9,4.2%,33,15.5%,9,204,0,4.2%,95.8%,0.0%,93,98,194,50.5%
131584,309,1101,State-funded AP school,45,18,27,40.0%,60.0%,14,31.1%,20,44.4%,8,37,0,17.8%,82.2%,0.0%,19,24,33,72.7%
131590,311,2093,State-funded primary,352,160,192,45.5%,54.5%,78,22.2%,48,13.6%,79,253,20,22.4%,71.9%,5.7%,91,91,338,26.9%
131591,333,2186,State-funded primary,459,233,226,50.8%,49.2%,13,2.8%,99,21.6%,189,270,0,41.2%,58.8%,0.0%,134,136,416,32.7%
131595,309,2082,State-funded primary,502,255,247,50.8%,49.2%,24,4.8%,96,19.1%,375,127,0,74.7%,25.3%,0.0%,155,157,456,34.4%
131596,868,1103,State-funded AP school,18,1,17,5.6%,94.4%,7,38.9%,11,61.1%,1,17,0,5.6%,94.4%,0.0%,7,7,18,38.9%
